Language	ISO 639-3	Glottocode	passive	transitivity	valence
Penange	NOCODE_Penange	pena1270	True	True	False
Pedi	nso	pedi1238	True	True	False
Pazeh	pzh	kulo1237	True	True	False
Patpatar	gfk	patp1243	True	True	False
Panytyima	pnw	pany1241	True	True	False
Paluai	blq	balu1257	True	True	False
Pacific Gulf Yupik	ems	paci1278	True	True	False
Paama	pma	paam1238	True	True	False
Pa'a	pqa	paaa1242	True	True	False
Oyda	oyd	oyda1235	True	True	False
Ot Danum	otd	otda1235	True	True	False
Orowe	bpk	orow1242	True	False	True
Ormuri	oru	ormu1247	True	True	False
Oneida	one	onei1249	True	True	False
Omagua	omg	omag1248	True	False	True
Old Saxon	osx	olds1250	True	False	True
Old Provençal	pro	oldp1253	True	False	True
Old Japanese	ojp	oldj1239	True	True	False
Oko-Eni-Osayen	oks	okoe1238	True	True	False
Okanagan	oka	okan1243	True	True	False
Ocotepec Mixtec	mie	ocot1243	True	True	False
Occitan	oci	occi1239	True	False	True
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	obdo1234	True	False	True
Nzadi	nzd	nzad1234	True	True	False
Nyulnyul	nyv	nyul1247	True	True	False
Nyiyaparli	xny	nija1241	True	True	False
Nyiha (Tanzania)	nih	nyih1240	True	True	False
