Language	ISO 639-3	Glottocode	absolutive	ergative
Timbe	tim	timb1251	False	True
Tima	tms	tima1241	False	True
Tibetan	bod	tibe1272	False	True
Thulung	tdh	thul1246	False	True
Thompson	thp	thom1243	False	True
Thayore	thd	thay1249	False	True
Tetelcingo Nahuatl	nhg	tete1251	True	False
Tepetotutla Chinantec	cnt	tepe1279	True	False
Teop	tio	teop1238	False	True
Tengger	tes	teng1272	False	True
Temiar	tea	temi1246	False	True
Tawala	tbo	tawa1275	False	True
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	rif	tari1263	False	True
Tariana	tae	tari1256	False	True
Tangut	txg	tang1334	False	True
Tangam	NOCODE_Tangam	tang1377	False	True
Tamambo	mla	malo1243	False	True
Takuu	nho	taku1257	False	True
Tajio	tdj	taji1246	False	True
Taiga Sayan Turkic	kim	kara1462	False	True
Tai Dam	blt	taid1247	True	False
Sylheti	syl	sylh1242	False	True
Supyire Senoufo	spp	supy1237	True	False
Sundanese	sun	sund1252	False	True
Subtiaba	sut	subt1250	True	False
Spiti Bhoti	spt	spit1240	False	True
Southern Yukaghir	yux	sout2750	False	True
Southern Sama	ssb	sout2918	False	True
Southern Rengma Naga	nre	sout2732	False	True
Southern Qiang	qxs	sout2728	False	True
Southern Pumi	pmj	sout2729	False	True
Southern Pomo	peq	sout2984	True	False
Southeastern Tepehuan	stp	sout2976	True	False
Southeastern Pomo	pom	sout2982	True	False
Soic	soj	soii1239	False	True
Siuslaw	sis	sius1254	True	False
Sisiqa	NOCODE_Sisiqa	sisi1250	False	True
Sinaugoro	snc	sina1266	False	True
Sidamo	sid	sida1246	True	False
Sichuan Yi	iii	sich1238	False	True
Siane	snp	sian1257	False	True
Shuswap	shs	shus1248	True	False
Shughni	sgh	shug1248	False	True
