Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
Yauyos Quechua	qux	yauy1235	False	True	True	True	True
Yau (Morobe Province)	yuw	yaum1237	False	True	True	True	True
Yaqui	yaq	yaqu1251	True	False	True	True	True
Yamphu	ybi	yamp1242	False	True	True	True	True
Yabem	jae	yabe1254	True	True	False	True	True
Xamtanga	xan	xamt1239	True	True	True	True	False
Wuvulu-Aua	wuv	wuvu1239	True	True	False	True	True
Wubuy	nuy	nung1290	False	True	True	True	True
Wolane	wle	wola1253	True	True	False	True	True
Woi	wbw	woii1237	True	True	False	True	True
Wichita	wic	wich1260	True	False	True	True	True
Western Puroik	NOCODE_Western-Puroik	west2873	True	False	True	True	True
Western Juxtlahuaca Mixtec	jmx	west2643	True	True	True	True	False
West Yugur	ybe	west2402	True	False	True	True	True
West Kewa	kew	west2599	True	True	True	False	True
Wardaman	wrr	ward1246	False	True	True	True	True
Wandarang	wnd	wand1263	False	True	True	True	True
Wandala	mfi	wand1278	False	True	True	True	True
Wanam Yelmek	NOCODE_Wanam	wana1273	True	True	False	True	True
Wala	lgl	wala1266	False	True	True	True	True
Vagla	vag	vagl1239	False	True	True	True	True
Ute-Southern Paiute	ute	utes1238	True	False	True	True	True
Usan	wnu	usan1239	True	False	True	True	True
Urim	uri	urim1252	True	True	True	True	False
Urhobo	urh	urho1239	True	True	True	True	False
Urat	urt	urat1244	True	True	False	True	True
Urarina	ura	urar1246	False	True	True	True	True
Upper Tanana	tau	uppe1437	False	True	True	True	True
Ubykh	uby	ubyk1235	False	True	True	True	True
Tyap	kcg	tyap1238	True	True	True	True	False
Tuwali Ifugao	ifk	tuwa1243	False	True	True	True	True
Turkish	tur	nucl1301	True	False	True	True	True
Tuparí	tpr	tupa1250	True	False	True	True	True
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	True	True	True	True	False
Trió	tri	trio1238	True	False	True	True	True
Tirax	mme	maee1241	True	True	False	True	True
Tiranige Diga Dogon	tde	tira1258	True	True	False	True	True
