Language	ISO 639-3	Glottocode	object_agreement	subject_agreement	subject_indexing
Kipsigis	sgc	kips1239	True	True	False
Kiowa	kio	kiow1266	True	True	False
Kinyarwanda	kin	kiny1244	True	True	False
Kiliwa	klb	kili1268	True	True	False
Kilivila	kij	kili1267	True	True	False
Kilen	NOCODE_Kilen	kile1243	True	True	False
Khwarshi-Inkhoqwari	khv	khva1239	True	True	False
Khinalugh	kjj	khin1240	True	True	False
Kharam Naga	kfw	khar1288	True	True	False
Ket	ket	kett1243	True	True	False
Kesawai	xes	kesa1244	True	True	False
Kerinci	kvr	keri1250	True	True	False
Kenuzi-Dongola	kzh	kenu1236	True	True	False
Kemezung	dmo	keme1240	True	True	False
Kelabit	kzi	kela1258	True	True	False
Kekchí	kek	kekc1242	True	True	False
Kayardild	gyd	kaya1319	True	True	False
Kayapó	txu	kaya1330	True	True	False
Kawaiisu	xaw	kawa1283	True	True	False
Katukína-Kanamarí	knm	kana1291	True	True	False
Katkari	kfu	katk1238	True	True	False
Kasua	khs	kasu1251	True	True	False
Kashmiri	kas	kash1277	True	True	False
Karitiâna	ktn	kari1311	True	True	False
Karajá	kpj	kara1500	True	True	False
Karadjeri	gbd	kara1476	True	True	False
Kaonde	kqn	kaon1241	True	True	False
Kansa	ksk	kans1243	True	True	False
Kaninuwa	wat	kani1281	True	True	False
Kangri	xnr	kang1280	True	True	False
Kanasi	soq	kana1288	True	True	False
Kanashi	xns	kana1283	True	True	False
Kamula	xla	kamu1260	True	True	False
Kami (Tanzania)	kcu	kami1256	True	True	False
Kambaata	ktb	kamb1316	True	True	False
Kalanga	kck	kala1384	True	True	False
Kala Lagaw Ya	mwp	kala1377	True	True	False
Kaki Ae	tbd	kaki1249	True	True	False
Kakabe	kke	kaka1265	True	True	False
Kagulu	kki	kagu1239	True	True	False
Kagayanen	cgc	kaga1256	True	True	False
Kadiwéu	kbc	kadi1248	True	True	False
Kachi Koli	gjk	kach1272	True	True	False
Kachchi	kfr	kach1277	True	True	False
Kachama-Ganjule-Haro	kcx	kach1284	True	True	False
K'iche'	quc	kich1262	True	True	False
Judeo-Tripolitanian Arabic	yud	jude1264	True	True	False
Jju	kaj	jjuu1238	True	True	False
Jita	jit	jita1239	True	True	False
Jina	jia	jina1244	True	True	False
Jewish Babylonian Aramaic (ca. 200-1200 CE)	tmr	jewi1240	True	True	False
Jehai	jhi	jeha1242	True	True	False
Jebero	jeb	jebe1250	True	True	False
Jaunsari	jns	jaun1243	True	True	False
Jaru	ddj	jaru1254	True	True	False
Jamsay Dogon	djm	jams1239	True	True	False
Jamamadí	jaa	jama1261	True	True	False
Jah Hut	jah	jahh1242	True	True	False
Iwaidja	ibd	iwai1244	True	True	False
Ivbie North-Okpela-Arhe	atg	ivbi1241	True	True	False
Itzá	itz	itza1241	True	True	False
Italian	ita	ital1282	True	True	False
Isirawa	srl	isir1237	True	True	False
Iraqw	irk	iraq1241	True	True	False
Inter-Zab Jewish Neo-Aramaic	aij	lish1245	True	True	False
Inor	ior	inor1238	True	True	False
Ingush	inh	ingu1240	True	True	False
Ineseño	inz	ines1240	True	True	False
Indo-Aryan Kinnauri	kjo	hari1246	True	True	False
Imonda	imn	imon1245	True	True	False
Imbabura Highland Quichua	qvi	imba1240	True	True	False
Ikoma-Nata	ntk	ikom1245	True	True	False
Igala	igl	igal1242	True	True	False
Idun	ldb	idun1241	True	True	False
Idi	idi	idii1243	True	True	False
Icelandic	isl	icel1247	True	True	False
Ibibio	ibb	ibib1240	True	True	False
Iamalele	yml	iama1237	True	True	False
I'saka	ksi	kris1246	True	True	False
Hungarian	hun	hung1274	True	True	False
Hungana	hum	hung1278	True	True	False
Hun-Saare	dud	huns1239	True	True	False
Hulaulá	huy	hula1244	True	True	False
Hula	hul	hula1239	True	True	False
Huichol	hch	huic1243	True	True	False
Huaylla Wanca Quechua	qvw	huay1241	True	True	False
Huastec	hus	huas1242	True	True	False
Huarijio	var	huar1255	True	True	False
Huallaga Huánuco Quechua	qub	hual1241	True	True	False
Hozo	hoz	hozo1236	True	True	False
Hixkaryána	hix	hixk1239	True	True	False
Hinuq	gin	hinu1240	True	True	False
Hindi	hin	hind1269	True	True	False
Herero	her	here1253	True	True	False
Haya	hay	haya1250	True	True	False
Hausa	hau	haus1257	True	True	False
Hanis	csz	coos1249	True	True	False
Hanga Hundi	wos	hang1263	True	True	False
Halkomelem	hur	halk1245	True	True	False
Haka Chin	cnh	haka1240	True	True	False
Hadza	hts	hadz1240	True	True	False
Hadothi	hoj	hado1235	True	True	False
