Language	ISO 639-3	Glottocode	contrastive_tone	pitch_accent	prosody	tonal_contrast	tonal_system	tone
Quileute	qui	quil1240	False	True	False	False	False	True
Qaqet	byx	qaqe1238	False	False	True	False	False	True
Pukapuka	pkp	puka1242	False	False	True	False	False	True
Piscataway	psy	pisc1239	False	True	False	False	False	True
Pirahã	myp	pira1253	False	False	True	False	False	True
Pinotepa Nacional Mixtec	mio	pino1237	False	False	False	False	True	True
Pingelapese	pif	ping1243	False	False	True	False	False	True
Pimbwe	piw	pimb1238	True	False	False	False	False	True
Pijin	pis	piji1239	False	False	True	False	False	True
Phalura	phl	phal1254	False	True	False	False	False	True
Phake	phk	phak1238	False	True	False	False	False	True
Peve	lme	peve1243	False	False	True	False	False	True
Pattani	lae	patt1248	False	True	False	False	False	True
Panará	kre	pana1307	False	False	True	False	False	True
Pamosu	hih	pamo1253	False	False	True	False	False	True
Paluai	blq	balu1257	False	False	True	False	False	True
Palenquero	pln	pale1260	False	False	False	False	True	True
Pagibete	pae	pagi1243	True	False	False	False	False	True
Pacific Gulf Yupik	ems	paci1278	False	False	True	False	False	True
Osage	osa	osag1243	False	True	False	False	False	True
Omi	omi	omii1238	True	False	False	False	False	True
Olekha	ole	olek1239	True	False	False	False	False	True
Old Welsh	owl	oldw1239	False	True	False	False	False	True
Old Telugu	NOCODE_Old-Telugu	oldt1249	False	False	True	False	False	True
Old Latin	qbb	oldl1238	False	False	True	False	False	True
Old Japanese	ojp	oldj1239	False	True	False	False	False	True
Ocotepec Mixtec	mie	ocot1243	False	False	False	False	True	True
Obolo	ann	obol1243	True	False	False	False	False	True
Nzadi	nzd	nzad1234	False	False	False	True	False	True
Nyulnyul	nyv	nyul1247	False	False	True	False	False	True
Nyangbo	nyb	nyan1302	False	True	False	False	False	True
Nyamwezi	nym	nyam1276	False	False	False	False	True	True
Nyambo	now	nyam1277	False	False	False	True	False	True
Nyakyusa-Ngonde	nyy	nyak1260	False	False	True	False	False	True
Nung (Myanmar)	nun	nung1282	False	False	False	True	False	True
Northwest Gbaya	gya	nort2775	False	False	False	False	True	True
