ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Status,Parent_Glottocode
nucl1643,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,japo1237,Japonic,not endangered,japa1258
coch1272,Cochimi,North America,29.04,-114.07700000000001,coch1272,coj,coch1271,Cochimi-Yuman,extinct,coch1271
kili1268,Kiliwa,North America,30.5471,-115.12299999999999,kili1268,klb,coch1271,Cochimi-Yuman,nearly extinct,yuma1250
mari1440,Maricopa,North America,33.5123,-111.749,mari1440,mrc,coch1271,Cochimi-Yuman,moribund,rive1260
moha1256,Mohave,North America,34.8866,-114.59899999999999,moha1256,mov,coch1271,Cochimi-Yuman,nearly extinct,rive1260
quec1382,Quechan,North America,32.7859,-114.59899999999999,quec1382,yum,coch1271,Cochimi-Yuman,nearly extinct,rive1260
paip1241,Paipai,North America,31.6063,-115.87100000000001,paip1241,ppi,coch1271,Cochimi-Yuman,moribund,paii1252
hava1248,Havasupai-Walapai-Yavapai,North America,35.6302,-113.385,hava1248,yuf,coch1271,Cochimi-Yuman,shifting,paii1252
coco1261,Cocopa,North America,32.376,-114.848,coco1261,coc,coch1271,Cochimi-Yuman,shifting,delt1253
kwat1246,Kwatl,North America,30.049,-115.38600000000001,kwat1246,,coch1271,Cochimi-Yuman,,delt1253
ipai1240,Ipai,North America,33.005,-116.993,ipai1240,,coch1271,Cochimi-Yuman,moribund,dieg1234
kumi1248,Tipai,North America,32.330999999999996,-116.604,kumi1248,dih,coch1271,Cochimi-Yuman,moribund,dieg1234
lumu1239,Lumun,Africa,10.8308,30.253,lumu1239,lmd,narr1279,Narrow Talodi,threatened,lumu1240
toro1251,Torona,Africa,11.1254,30.340999999999998,toro1251,tqr,narr1279,Narrow Talodi,extinct,lumu1240
ngil1242,Ngile,Africa,10.7194,29.997,ngil1242,jle,narr1279,Narrow Talodi,threatened,ngil1241
dagi1241,Dagik,Africa,10.583,29.9404,dagi1241,dec,narr1279,Narrow Talodi,not endangered,ngil1241
ndin1245,Nding,Africa,10.2741,30.7306,ndin1245,eli,narr1279,Narrow Talodi,shifting,ndin1246
talo1250,Tasomi-Tata,Africa,10.6453,30.4815,talo1250,tlo,narr1279,Narrow Talodi,shifting,ndin1246
ache1245,Acheron,Africa,10.8827,30.3187,ache1245,acz,narr1279,Narrow Talodi,threatened,ache1247
toch1257,Tocho,Africa,10.8828,30.1567,toch1257,taz,narr1279,Narrow Talodi,shifting,ache1247
till1254,Tillamook,North America,44.0924,-122.76899999999999,till1254,til,sali1255,Salishan,extinct,sali1255
bell1243,Bella Coola,North America,52.3448,-126.689,bell1243,blc,sali1255,Salishan,nearly extinct,sali1255
quin1251,Quinault,North America,47.4214,-124.16,quin1251,qun,sali1255,Salishan,extinct,coas1311
lowe1427,Lower Chehalis,North America,46.7736,-124.00399999999999,lowe1427,cea,sali1255,Salishan,extinct,coas1311
cowl1242,Cowlitz,North America,46.4167,-122.917,cowl1242,cow,sali1255,Salishan,extinct,inla1265
uppe1439,Upper Chehalis,North America,46.7981,-123.169,uppe1439,cjh,sali1255,Salishan,extinct,inla1265
coeu1236,Coeur d'Alene,North America,47.2958,-116.715,coeu1236,crd,sali1255,Salishan,nearly extinct,sout1559
colu1241,Columbia-Wenatchi,North America,48.217,-118.454,colu1241,col,sali1255,Salishan,nearly extinct,sout1559
okan1243,Okanagan,North America,49.2745,-119.294,okan1243,oka,sali1255,Salishan,nearly extinct,sout1559
kali1308,Kalispel-Pend d'Oreille,North America,47.5825,-114.19,kali1308,fla,sali1255,Salishan,moribund,kali1307
spok1245,Spokane,North America,47.9087,-118.06200000000001,spok1245,spo,sali1255,Salishan,moribund,kali1307
shus1248,Shuswap,North America,50.8734,-119.667,shus1248,shs,sali1255,Salishan,shifting,nort2948
thom1243,Thompson,North America,50.1668,-120.193,thom1243,thp,sali1255,Salishan,moribund,nort2948
lill1248,Lillooet,North America,50.7272,-122.04,lill1248,lil,sali1255,Salishan,nearly extinct,nort2948
sech1246,Sechelt,North America,49.4757,-123.765,sech1246,sec,sali1255,Salishan,nearly extinct,cent2129
nook1247,Nooksack,North America,48.2201,-121.973,nook1247,nok,sali1255,Salishan,extinct,cent2129
squa1248,Squamish,North America,49.3231,-123.014,squa1248,squ,sali1255,Salishan,nearly extinct,cent2129
como1259,Comox,North America,49.7233,-124.96700000000001,como1259,coo,sali1255,Salishan,nearly extinct,cent2129
twan1247,Twana,North America,47.7419,-121.765,twan1247,twa,sali1255,Salishan,extinct,cent2129
